"","sg","nom","Agriculture","Transformation","Emballage","Transport","Supermarché et distribution","Consommation","Total"
"28","légumes","Banane plantain, crue",0.21991067,0,0,0.41168882,0.012217853,0.080351049,0.724168392
"29","fruits","Banane, pulpe, crue",0.31629881,0,0,0.40893121,0.017811293,0.13756958,0.880610893
"30","fruits","Banane, pulpe, sèche",1.0212291,0.67727333,0.28118162,0.16614931,0.020096608,0,2.165929968
"31","légumes","Bette ou blette, crue",0.14247925,0,0,0.27356253,0.046360746,0.080351049,0.542753575
"32","légumes","Bette ou blette, cuite",0.166434,0,0.28002043,0.3335497,0.054155287,0.20967494,1.043834357
"33","légumes","Betterave rouge, crue",0.080693939,0,0,0.24073503,0.010751711,0.032140419,0.364321099
"34","légumes","Betterave rouge, cuite",0.095218849,0,0.3571421,0.29649297,0.012687019,0.12807962,0.889620558
"35","légumes","Brocoli, cru",0.5231282,0,0,0.27356253,0.025513693,0.080351049,0.902555472
"36","légumes","Brocoli, cuit",0.54321632,0,0.24240545,0.29649297,0.026493418,0.17629025,1.284898408
"37","légumes","Brocoli, purée",0.54321632,0,0.24240545,0.29649297,0.026493418,0.091373673,1.199981831
"38","légumes","Brocoli, surgelé, cru",0.47316945,0.12037794,0.26232822,0.21781585,0.068654975,0.02525183,1.167598265
"39","légumes","Brocoli, surgelé, cuit",0.5527225,0.14061685,0.30643295,0.2544368,0.0801978,0.1240069,1.4584138
"40","fruits","Canneberge ou cranberry, crue",0.96960984,0,0,0.47777892,0.015591118,0.080351049,1.543330927
"41","fruits","Carambole, pulpe, crue",0.1635442,0,0,0.27356253,0.015591118,0.080351049,0.533048897
"42","légumes","Cardon, cru",0.35608494,0,0,0.27356253,0.046360746,0.080351049,0.756359265
"43","légumes","Cardon, cuit",0.4159528,0,0.28002043,0.3335497,0.054155287,0.20967494,1.293353157
"44","légumes","Carotte, appertisée, égouttée",0.075910611,0.32312492,0.25915577,0.32084228,0.023875551,0.011022624,1.013931756
"45","légumes","Carotte, crue",0.080693939,0,0,0.24073503,0.010751711,0.032140419,0.364321099
"46","légumes","Carotte, cuite",0.1071146,0,0.28002043,0.3335497,0.014272017,0.19993027,0.934887017
"47","légumes","Carotte, purée",0.09426666,0,0.26934943,0.27042118,0.011418317,0.020767291,0.666222878
"48","légumes","Carotte, surgelée, crue",0.072987668,0.091766547,0.26232822,0.2137258,0.068654975,0.02525183,0.73471504
"49","légumes","Carotte, surgelée, cuite",0.085258941,0.10719508,0.30643295,0.2496591,0.0801978,0.1240069,0.952750771
"50","légumes","Carottes râpées, avec sauce, préemballées",0.083273855,0.2051426,0.15680096,0.46993096,0.069119992,0.0066736979,0.9909420649
"51","fruits","Cassis, cru",1.4268828,0,0,0.27356253,0.015591118,0.080351049,1.796387497
"52","légumes","Céleri branche, appertisé, égoutté",0.39264062,0.36125895,0.25915577,0.31893432,0.023875551,0.011022624,1.366887835
"53","légumes","Céleri branche, cru",0.43138668,0,0,0.22561858,0.01007658,0.0099362451,0.6770180851
"54","légumes","Céleri branche, cuit",0.50391487,0,0.23106911,0.27509253,0.011770736,0.10755372,1.129400966
"55","légumes","Céleri-rave, cru",0.091697658,0,0,0.27356253,0.012217853,0.080351049,0.45782909
"56","légumes","Céleri-rave, cuit",0.1071146,0,0.28002043,0.3335497,0.014272017,0.19993027,0.934887017
"57","légumes","Céleri-rave, purée",0.09426666,0,0.24471421,0.27042118,0.011418317,0.011022624,0.631842991
"58","fruits","Cerise, dénoyautée, crue",0.60236424,0,0.35147703,0.28554207,0.015591118,0.080351049,1.335325507
"59","légumes","Champignon, morille, crue",0.093440074,0,0,0.27356253,0.046360746,0.080351049,0.493714399
"60","légumes","Chicorée rouge, crue",0.22517429,0,0,0.27356253,0.046360746,0.080351049,0.625448615
"61","légumes","Chicorée verte, crue",0.22517429,0,0,0.27356253,0.046360746,0.080351049,0.625448615
"62","légumes","Chou blanc, cru",0.2887263,0,0,0.27356253,0.018180592,0.080351049,0.660820471
"63","légumes","Chou chinois (pak-choi ou pé-tsai), cuit",0.41590721,0,0.31466964,0.33358541,0.021234931,0.20567787,1.291075061
"64","légumes","Chou chinois ou pak-choi ou pé-tsai, cru",0.35608494,0,0,0.27356253,0.018180592,0.21426946,0.862097522
"65","légumes","Chou de Bruxelles, appertisé, égoutté",0.28627235,0.20504433,0.25915577,0.32084228,0.023875551,0.011022624,1.106212905
"66","légumes","Chou de Bruxelles, cru",0.31335475,0,0,0.24073503,0.015998921,0.0057299719,0.5758186729
"67","légumes","Chou de Bruxelles, cuit",0.36975861,0,0.24240545,0.29649297,0.018878727,0.12807962,1.055615377
"68","légumes","Chou de Bruxelles, surgelé, cru",0.28342937,0.091766547,0.26232822,0.2137258,0.068654975,0.02525183,0.945156742
"69","légumes","Chou de Bruxelles, surgelé, cuit",0.33108179,0.10719508,0.30643295,0.2496591,0.0801978,0.1240069,1.19857362
